Quarter,region,Sexual offences,"Attempts/threats to murder, assaults, harassments and related offences",Driving/in charge of a vehicle while over legal alcohol limit,Driving/in charge of a vehicle under the influence of drugs,Endangering traffic offences,"Robbery, extortion and hijacking offences",Burglary and related offences,Theft and related offences,Theft/taking of vehicle and related offences,Controlled drug offences,Public order and other social code offences,Disorderly conduct
2014Q1,Limerick,26,175,80,2,1,18,251,964,140,166,413,307
2014Q1,Laois/Offaly,15,126,52,1,1,5,263,513,50,105,203,170
2014Q1,Meath,21,84,56,2,1,16,272,634,128,53,182,147
2014Q1,Wicklow,19,120,38,2,0,15,173,455,53,142,270,227
2014Q1,Westmeath,8,64,38,1,1,9,124,272,9,37,161,142
2014Q1,Kildare,29,134,62,4,1,13,323,799,90,103,198,161
2014Q1,Tipperary,17,87,98,2,0,5,138,347,37,115,221,206
2014Q1,Wexford,12,97,65,4,1,8,231,338,24,59,160,129
2014Q1,Kilkenny/Carlow,20,112,56,1,1,8,253,444,36,115,336,302
2014Q1,Waterford,23,117,42,4,1,14,226,446,26,102,233,197
2014Q1,D.M.R. South Central,28,236,35,3,1,96,428,2418,110,236,761,585
2014Q1,D.M.R. North Central,17,189,43,5,2,98,245,1878,117,525,463,371
2014Q1,D.M.R. Northern,49,183,92,5,5,72,612,1375,195,246,301,238
2014Q1,D.M.R. Southern,17,184,73,3,0,100,569,1054,174,218,292,232
2014Q1,D.M.R. Eastern,17,95,43,1,3,26,470,803,77,58,214,162
2014Q1,D.M.R. Western,30,204,103,11,4,132,616,1881,364,433,374,303
2014Q2,Cavan/Monaghan,11,134,62,1,0,2,92,262,36,55,253,220
2014Q2,Donegal,20,190,69,1,1,4,118,239,35,81,309,260
2014Q2,Sligo/Leitrim,7,71,36,0,1,4,97,180,6,33,124,109
2014Q2,Louth,17,142,38,0,0,11,256,534,85,80,187,148
2014Q2,Clare,13,81,34,2,1,12,92,251,14,98,219,194
2014Q2,Mayo,16,82,45,1,0,5,80,219,19,36,188,172
2014Q2,Galway,22,179,100,3,1,8,233,548,37,171,475,399
2014Q2,Roscommon/Longford,8,96,34,1,1,4,89,163,11,60,109,90
2014Q2,Cork City,33,242,83,3,4,30,162,940,86,214,628,551
2014Q2,Cork North,13,94,56,1,1,3,74,290,20,72,232,207
2014Q2,Cork West,9,58,44,0,0,0,74,177,12,48,180,148
2014Q2,Kerry,9,101,70,3,0,1,87,293,10,119,355,310
2014Q2,Limerick,15,148,58,8,8,19,253,1015,122,179,493,386
2014Q2,Laois/Offaly,18,116,45,1,2,3,263,456,40,90,170,150
2014Q2,Meath,20,107,45,3,1,8,199,559,82,59,148,103
2014Q2,Wicklow,19,116,31,1,2,13,212,623,36,130,243,213
2014Q2,Westmeath,8,89,46,2,0,8,152,312,18,232,177,160
2014Q2,Kildare,22,134,65,3,3,12,298,702,76,89,199,160
2014Q2,Tipperary,13,89,81,5,0,8,156,374,24,156,273,244
2014Q2,Wexford,18,87,49,5,0,15,224,433,35,67,149,109
2014Q2,Kilkenny/Carlow,19,105,52,1,0,10,215,460,38,110,388,353
2014Q2,Waterford,23,105,52,2,0,8,178,484,24,106,223,174
2014Q2,D.M.R. South Central,24,221,32,2,1,118,472,2392,108,216,658,551
2014Q2,D.M.R. North Central,16,198,40,3,1,78,265,1957,102,489,384,304
2014Q2,D.M.R. Northern,35,217,91,4,1,72,560,1536,205,315,363,291
2014Q2,D.M.R. Southern,26,185,77,1,2,82,530,1108,159,275,287,226
2014Q2,D.M.R. Eastern,12,108,32,0,3,30,382,904,78,71,215,139
2014Q2,D.M.R. Western,37,232,98,9,2,103,538,1969,367,528,416,335
2014Q3,Cavan/Monaghan,11,127,76,2,1,1,81,290,33,53,230,203
2014Q3,Donegal,18,190,64,1,0,6,86,271,27,55,279,236
2014Q3,Sligo/Leitrim,10,78,44,0,1,1,85,221,19,47,170,151
2014Q3,Louth,12,116,41,1,1,14,282,530,69,43,192,159
2014Q3,Clare,11,68,46,0,1,4,83,255,19,86,180,159
2014Q3,Mayo,4,113,40,1,0,4,88,210,17,42,206,180
2014Q3,Galway,22,190,110,6,1,7,222,574,35,143,492,438
2014Q3,Roscommon/Longford,12,108,31,2,0,2,118,195,22,53,110,94
2014Q3,Cork City,30,254,99,5,2,24,224,1030,84,264,648,555
2014Q3,Cork North,7,124,83,1,1,2,82,271,23,86,263,233
2014Q3,Cork West,8,79,44,1,0,0,47,195,21,72,154,139
2014Q3,Kerry,11,118,74,4,1,3,87,314,14,123,413,355
2014Q3,Limerick,14,161,69,5,4,26,305,1094,155,125,508,363
2014Q3,Laois/Offaly,12,124,52,0,1,8,275,532,38,390,188,154
2014Q3,Meath,13,115,59,0,1,17,229,655,107,45,191,150
2014Q3,Wicklow,17,115,35,2,4,5,256,610,49,129,197,166
2014Q3,Westmeath,8,51,44,1,1,4,155,298,30,48,140,120
2014Q3,Kildare,25,142,55,1,2,14,352,718,99,97,159,130
2014Q3,Tipperary,11,85,66,2,0,4,152,346,19,158,259,228
2014Q3,Wexford,21,99,44,1,1,10,281,438,33,72,171,124
2014Q3,Kilkenny/Carlow,13,144,66,3,0,6,170,450,21,81,381,338
2014Q3,Waterford,15,127,48,2,4,9,204,479,32,123,268,213
2014Q3,D.M.R. South Central,24,226,31,4,1,94,433,2358,99,271,811,572
2014Q3,D.M.R. North Central,20,199,38,4,1,76,298,1858,87,454,456,340
2014Q3,D.M.R. Northern,40,213,98,2,2,58,581,1637,248,320,337,260
2014Q3,D.M.R. Southern,18,159,62,4,3,62,606,1192,168,369,291,230
2014Q3,D.M.R. Eastern,22,103,33,2,4,30,426,950,103,74,198,130
2014Q3,D.M.R. Western,33,203,88,7,6,114,599,1890,345,399,363,283
2014Q4,Cavan/Monaghan,15,123,74,1,1,3,94,300,40,49,245,212
2014Q4,Donegal,17,186,74,1,1,6,79,245,21,41,285,249
2014Q4,Sligo/Leitrim,9,80,36,0,0,2,100,206,7,47,190,174
2014Q4,Louth,15,146,50,1,1,22,286,578,60,102,185,150
2014Q4,Clare,14,79,54,0,0,6,99,221,12,96,197,170
2014Q4,Mayo,7,107,45,1,1,4,69,224,18,42,208,173
2014Q4,Galway,23,185,83,2,3,9,238,525,29,93,480,392
2014Q4,Roscommon/Longford,9,97,33,0,0,1,117,175,14,33,120,106
2014Q4,Cork City,19,313,87,3,2,41,186,997,76,234,718,556
2014Q4,Cork North,22,106,63,0,1,4,108,283,16,91,234,212
2014Q4,Cork West,7,95,39,1,0,0,51,147,9,66,156,125
2014Q4,Kerry,23,99,57,8,2,3,81,306,18,117,377,338
2014Q4,Limerick,16,159,70,6,5,16,285,1028,131,164,496,386
2014Q4,Laois/Offaly,13,126,35,1,6,10,286,541,37,77,184,157
2014Q4,Meath,20,106,55,0,1,14,254,591,80,59,155,121
2014Q4,Wicklow,10,131,27,3,2,11,285,554,29,132,222,171
2014Q4,Westmeath,5,93,42,2,1,11,150,306,14,36,165,145
2014Q4,Kildare,18,125,64,2,0,18,462,747,69,68,174,143
2014Q4,Tipperary,22,114,80,6,2,4,191,363,26,143,253,212
2014Q4,Wexford,17,91,51,3,0,7,266,423,41,52,133,97
2014Q4,Kilkenny/Carlow,24,93,34,4,0,6,293,470,40,100,384,341
2014Q4,Waterford,10,139,67,2,1,6,229,462,19,105,264,226
2014Q4,D.M.R. South Central,12,251,37,3,1,87,435,2274,84,195,724,531
2014Q4,D.M.R. North Central,22,218,35,2,1,90,308,1966,90,428,499,315
2014Q4,D.M.R. Northern,40,194,96,8,2,66,768,1631,182,295,263,208
2014Q4,D.M.R. Southern,27,189,56,3,0,71,789,1304,244,247,313,253
2014Q4,D.M.R. Eastern,12,121,25,2,2,36,594,1033,77,69,186,115
2014Q4,D.M.R. Western,41,220,76,5,5,99,719,1895,352,399,373,306
2015Q1,Cavan/Monaghan,16,141,75,0,0,6,81,243,30,56,189,175
2015Q1,Donegal,26,169,66,1,0,9,79,212,17,52,253,224
2015Q1,Sligo/Leitrim,18,72,38,1,0,8,82,138,4,56,159,143
2015Q1,Louth,15,120,32,0,0,22,301,608,87,73,162,135
2015Q1,Clare,13,83,38,0,0,6,102,257,14,83,153,121
2015Q1,Mayo,14,98,33,1,0,2,81,216,18,30,209,187
2015Q1,Galway,29,194,111,3,0,7,199,619,25,162,514,449
2015Q1,Roscommon/Longford,16,94,41,1,3,5,109,175,13,50,106,88
2015Q1,Cork City,33,281,80,1,3,34,253,985,69,242,622,534
2015Q1,Cork North,24,97,57,3,2,2,129,284,21,137,198,179
2015Q1,Cork West,9,103,46,1,0,2,38,144,6,59,163,138
2015Q1,Kerry,10,94,71,4,2,5,91,273,18,83,416,389
2015Q1,Limerick,40,185,61,5,4,20,273,975,163,155,392,313
2015Q1,Laois/Offaly,21,147,49,3,0,4,302,519,51,86,149,122
2015Q1,Meath,28,127,47,0,0,21,236,552,78,45,141,111
2015Q1,Wicklow,19,115,49,0,2,9,261,516,37,125,188,146
2015Q1,Westmeath,6,72,43,0,1,6,101,282,11,57,116,96
2015Q1,Kildare,28,146,62,3,3,26,437,646,63,71,166,136
2015Q1,Tipperary,10,101,99,3,2,2,164,346,41,129,285,260
2015Q1,Wexford,24,121,48,0,0,5,354,427,40,72,163,118
2015Q1,Kilkenny/Carlow,20,139,55,3,1,7,211,441,21,82,299,256
2015Q1,Waterford,18,133,43,0,1,7,211,466,24,84,246,216
2015Q1,D.M.R. South Central,21,286,28,5,1,91,445,2369,100,250,959,758
2015Q1,D.M.R. North Central,24,231,36,4,0,79,222,1971,92,415,843,387
2015Q1,D.M.R. Northern,53,263,87,4,1,72,649,1609,241,264,263,195
2015Q1,D.M.R. Southern,25,213,48,1,0,79,653,1161,122,225,273,219
2015Q1,D.M.R. Eastern,28,123,28,4,4,24,598,910,61,91,175,116
2015Q1,D.M.R. Western,41,177,88,8,8,125,690,1570,259,289,347,267
2015Q2,Cavan/Monaghan,18,127,72,1,0,5,109,295,26,59,207,178
2015Q2,Donegal,21,167,76,2,1,5,66,238,31,72,314,288
2015Q2,Sligo/Leitrim,10,80,22,0,1,2,88,178,7,39,169,149
2015Q2,Louth,17,151,37,1,1,32,279,592,95,63,148,108
2015Q2,Clare,10,83,42,0,1,5,90,294,22,110,161,138
2015Q2,Mayo,10,91,51,0,4,1,86,215,19,34,197,171
2015Q2,Galway,22,192,118,2,2,10,240,564,26,134,413,360
2015Q2,Roscommon/Longford,13,99,34,1,0,5,99,216,13,42,102,90
2015Q2,Cork City,30,265,74,4,0,23,227,1015,62,273,595,488
2015Q2,Cork North,20,112,65,2,1,2,111,250,17,69,250,225
2015Q2,Cork West,8,92,49,1,0,1,58,152,12,61,155,129
2015Q2,Kerry,21,130,65,3,1,1,110,285,15,97,415,368
2015Q2,Limerick,24,189,106,3,8,19,289,968,117,181,456,320
2015Q2,Laois/Offaly,15,162,35,1,3,9,230,569,45,280,203,173
2015Q2,Meath,12,120,53,0,1,10,224,511,80,64,178,132
2015Q2,Wicklow,20,114,33,2,4,12,206,508,35,147,157,126
2015Q2,Westmeath,6,71,37,2,2,5,75,274,19,278,150,137
2015Q2,Kildare,22,165,64,4,4,19,304,635,76,81,161,123
2015Q2,Tipperary,18,112,68,3,2,5,118,332,28,128,234,216
2015Q2,Wexford,15,102,61,1,2,4,214,431,33,63,156,134
2015Q2,Kilkenny/Carlow,18,122,64,2,1,7,160,418,25,114,291,263
2015Q2,Waterford,14,131,47,2,0,9,203,473,33,117,249,219
2015Q2,D.M.R. South Central,25,283,38,4,1,89,407,2132,78,287,854,644
2015Q2,D.M.R. North Central,22,232,36,2,1,97,208,2143,60,433,1012,411
2015Q2,D.M.R. Northern,59,278,82,1,3,111,536,1671,187,256,292,222
2015Q2,D.M.R. Southern,27,204,60,2,1,62,530,1272,151,282,341,261
2015Q2,D.M.R. Eastern,17,117,28,2,4,25,575,970,107,91,188,120
2015Q2,D.M.R. Western,38,205,79,8,2,91,529,1718,270,390,305,240
2015Q3,Cavan/Monaghan,14,131,77,0,0,6,134,273,30,49,247,219
2015Q3,Donegal,26,210,73,5,1,5,90,243,26,44,266,232
2015Q3,Sligo/Leitrim,3,92,37,0,1,3,87,164,8,29,196,179
2015Q3,Louth,13,124,33,0,2,22,273,587,55,44,158,135
2015Q3,Clare,10,99,43,0,1,4,99,277,26,88,185,139
2015Q3,Mayo,21,86,42,0,1,3,75,204,12,30,203,188
2015Q3,Galway,22,192,101,3,1,11,288,621,36,137,441,368
2015Q3,Roscommon/Longford,15,101,29,0,1,7,89,187,10,41,107,86
2015Q3,Cork City,23,276,89,3,1,18,199,940,65,237,579,467
2015Q3,Cork North,18,107,66,3,1,1,126,266,18,89,243,226
2015Q3,Cork West,13,95,45,2,0,2,67,152,9,65,122,95
2015Q3,Kerry,16,112,93,2,1,8,113,281,8,110,444,392
2015Q3,Limerick,30,193,71,9,9,24,268,966,98,180,493,327
2015Q3,Laois/Offaly,14,162,44,1,5,7,251,524,32,86,152,121
2015Q3,Meath,7,132,65,1,3,10,244,500,77,68,153,119
2015Q3,Wicklow,17,109,47,2,4,14,213,587,40,166,181,150
2015Q3,Westmeath,9,76,41,2,3,3,93,268,11,55,163,146
2015Q3,Kildare,16,176,62,2,3,17,291,670,64,81,139,109
2015Q3,Tipperary,22,121,66,3,3,4,109,343,17,124,198,174
2015Q3,Wexford,25,100,44,3,1,2,231,378,33,54,159,130
2015Q3,Kilkenny/Carlow,16,125,49,2,0,7,173,395,26,94,287,253
2015Q3,Waterford,18,172,51,4,1,11,200,451,36,68,242,203
2015Q3,D.M.R. South Central,41,270,42,1,1,75,369,2162,56,223,922,648
2015Q3,D.M.R. North Central,25,234,31,5,0,80,217,2249,88,451,958,429
2015Q3,D.M.R. Northern,48,239,95,1,1,59,466,1578,193,280,266,209
2015Q3,D.M.R. Southern,30,195,52,2,1,74,512,1215,144,349,310,250
2015Q3,D.M.R. Eastern,13,154,39,1,6,11,535,1007,99,70,161,110
2015Q3,D.M.R. Western,44,225,86,6,4,83,569,1687,251,379,334,264
2015Q4,Cavan/Monaghan,14,136,79,0,1,1,102,290,41,67,233,202
2015Q4,Donegal,18,181,90,3,1,8,89,245,26,47,290,264
2015Q4,Sligo/Leitrim,9,66,33,0,1,2,69,181,7,32,159,143
2015Q4,Louth,15,126,50,0,1,13,219,548,53,63,189,165
2015Q4,Clare,16,109,42,1,1,4,94,245,16,53,194,139
2015Q4,Mayo,15,100,47,0,0,4,70,217,14,37,231,206
2015Q4,Galway,25,214,122,3,1,9,169,506,17,143,511,428
2015Q4,Roscommon/Longford,7,107,39,1,1,4,81,212,18,63,92,81
2015Q4,Cork City,27,270,76,0,2,42,182,852,64,243,684,516
2015Q4,Cork North,13,104,67,1,0,5,86,223,16,71,195,182
2015Q4,Cork West,15,96,53,0,0,1,23,124,5,109,131,108
2015Q4,Kerry,24,138,71,3,0,4,74,249,10,94,383,343
2015Q4,Limerick,29,218,69,5,13,18,273,1043,124,167,421,308
2015Q4,Laois/Offaly,17,121,52,3,4,9,193,512,48,88,143,120
2015Q4,Meath,18,118,55,2,2,12,179,490,52,54,156,122
2015Q4,Wicklow,16,120,29,0,4,5,217,482,36,149,184,155
2015Q4,Westmeath,7,78,56,1,6,10,71,301,14,61,203,184
2015Q4,Kildare,28,179,56,1,3,22,351,685,81,96,132,104
2015Q4,Tipperary,11,123,63,3,1,9,127,352,27,116,212,187
2015Q4,Wexford,17,127,57,2,0,6,251,408,21,89,182,155
2015Q4,Kilkenny/Carlow,16,120,39,1,2,3,173,404,16,91,300,265
2015Q4,Waterford,12,153,56,1,1,6,207,463,16,99,233,203
2015Q4,D.M.R. South Central,22,305,45,3,2,95,358,2091,68,198,804,531
2015Q4,D.M.R. North Central,18,213,39,5,2,71,224,2191,83,395,1221,407
2015Q4,D.M.R. Northern,47,252,86,3,1,76,521,1320,164,281,272,207
2015Q4,D.M.R. Southern,34,165,51,4,1,98,608,1178,137,203,260,179
2015Q4,D.M.R. Eastern,14,118,33,1,5,28,590,972,75,68,131,84
2015Q4,D.M.R. Western,38,230,92,4,2,88,616,1545,216,410,294,219
2016Q1,Cavan/Monaghan,21,152,90,0,1,1,81,225,27,56,244,223
2016Q1,Donegal,32,196,89,3,3,6,55,174,13,65,342,307
2016Q1,Sligo/Leitrim,9,96,28,0,1,3,46,149,10,36,150,139
2016Q1,Louth,22,142,48,1,2,15,172,436,38,87,179,158
2016Q1,Clare,16,117,40,2,1,4,81,234,11,96,157,119
2016Q1,Mayo,15,74,58,1,1,2,70,187,12,26,237,225
2016Q1,Galway,24,185,122,3,0,0,147,504,19,169,506,435
2016Q1,Roscommon/Longford,7,62,32,0,0,3,66,175,15,34,127,114
2016Q1,Cork City,24,244,84,0,2,27,133,849,62,251,597,505
2016Q1,Cork North,23,99,81,1,0,3,72,185,19,82,213,196
2016Q1,Cork West,11,92,47,1,0,3,30,78,6,55,121,110
2016Q1,Kerry,19,109,74,4,0,3,48,213,7,93,337,306
2016Q1,Limerick,30,215,88,6,9,16,225,709,77,160,310,257
2016Q1,Laois/Offaly,32,136,51,3,2,12,184,407,32,370,194,171
2016Q1,Meath,22,128,57,2,4,12,149,413,47,87,157,128
2016Q1,Wicklow,11,114,51,2,2,8,163,407,38,145,132,108
2016Q1,Westmeath,8,81,40,2,1,5,73,290,17,121,189,175
2016Q1,Kildare,29,172,65,2,1,16,284,606,58,112,146,119
2016Q1,Tipperary,17,113,88,2,0,8,118,316,17,121,188,169
2016Q1,Wexford,24,114,65,0,0,10,141,337,24,93,155,142
2016Q1,Kilkenny/Carlow,24,125,60,1,2,11,118,344,26,125,284,265
2016Q1,Waterford,19,120,50,2,1,12,136,367,13,98,218,200
2016Q1,D.M.R. South Central,34,299,40,1,2,85,308,2065,75,203,752,603
2016Q1,D.M.R. North Central,30,237,64,3,0,55,208,1899,61,308,570,352
2016Q1,D.M.R. Northern,59,245,105,3,2,64,424,1284,148,263,274,210
2016Q1,D.M.R. Southern,35,174,52,1,1,61,428,1072,163,251,246,180
2016Q1,D.M.R. Eastern,27,142,29,2,3,30,483,858,59,72,163,104
2016Q1,D.M.R. Western,51,249,80,9,2,93,410,1344,157,330,300,231
2016Q2,Cavan/Monaghan,16,151,85,0,3,2,99,245,27,52,215,195
2016Q2,Donegal,24,151,90,2,2,5,39,185,11,76,297,266
2016Q2,Sligo/Leitrim,19,86,21,2,1,2,54,146,9,30,175,149
2016Q2,Louth,20,140,40,2,1,8,220,426,34,87,163,135
2016Q2,Clare,14,94,45,1,0,5,65,215,8,74,163,114
2016Q2,Mayo,22,83,45,1,0,0,41,181,6,33,169,150
2016Q2,Galway,43,183,99,5,1,4,138,471,21,128,368,337
2016Q2,Roscommon/Longford,14,64,38,0,0,1,69,176,10,53,96,85
2016Q2,Cork City,24,275,81,1,1,16,109,776,53,244,535,453
2016Q2,Cork North,15,100,67,0,0,2,62,235,20,97,192,176
2016Q2,Cork West,14,88,41,1,2,2,39,108,3,53,136,110
2016Q2,Kerry,16,102,70,6,0,2,51,236,5,114,338,312
2016Q2,Limerick,31,197,85,7,5,20,165,652,49,181,374,287
2016Q2,Laois/Offaly,22,130,46,4,0,8,147,396,18,137,177,151
2016Q2,Meath,18,143,55,5,0,7,135,385,41,72,119,98
2016Q2,Wicklow,18,99,32,0,2,7,164,458,17,118,124,102
2016Q2,Westmeath,11,75,50,1,3,2,62,213,19,495,134,119
2016Q2,Kildare,35,137,67,1,2,22,213,619,59,105,150,122
2016Q2,Tipperary,23,127,44,7,1,8,80,351,18,122,204,183
2016Q2,Wexford,18,115,58,2,1,5,116,326,23,86,170,144
2016Q2,Kilkenny/Carlow,22,136,60,3,0,7,103,343,10,196,278,251
2016Q2,Waterford,21,108,59,2,0,4,126,415,12,83,195,168
2016Q2,D.M.R. South Central,36,294,38,2,2,68,295,1898,59,263,667,529
2016Q2,D.M.R. North Central,23,219,37,1,0,65,205,1900,60,312,648,363
2016Q2,D.M.R. Northern,53,288,86,5,2,57,364,1163,106,307,236,185
2016Q2,D.M.R. Southern,56,193,64,2,2,76,427,1033,98,234,241,182
2016Q2,D.M.R. Eastern,14,108,25,0,2,16,398,842,81,67,137,105
2016Q2,D.M.R. Western,51,322,102,2,0,80,375,1464,214,364,260,203
2016Q3,Cavan/Monaghan,7,174,93,0,0,4,101,207,14,56,229,214
2016Q3,Donegal,23,180,93,3,2,6,55,202,15,59,283,252
2016Q3,Sligo/Leitrim,6,75,42,0,0,6,58,195,10,43,176,166
2016Q3,Louth,26,138,59,1,1,22,183,497,31,85,177,147
2016Q3,Clare,5,111,54,0,1,6,52,206,9,81,234,190
2016Q3,Mayo,11,110,57,0,0,3,78,171,8,71,202,189
2016Q3,Galway,23,185,90,0,3,6,113,452,18,176,494,441
2016Q3,Roscommon/Longford,15,70,36,0,0,4,54,200,9,50,101,94
2016Q3,Cork City,32,239,85,1,2,24,103,822,61,236,546,455
2016Q3,Cork North,16,100,60,1,0,2,49,206,8,104,234,215
2016Q3,Cork West,17,67,51,0,0,0,32,113,5,87,107,91
2016Q3,Kerry,14,116,59,2,1,1,44,221,15,106,401,366
2016Q3,Limerick,32,181,81,10,3,18,173,658,43,221,313,241
2016Q3,Laois/Offaly,21,139,44,3,2,9,125,384,26,117,160,137
2016Q3,Meath,19,109,66,0,1,6,168,378,26,74,129,108
2016Q3,Wicklow,25,102,44,1,2,6,161,462,27,154,127,108
2016Q3,Westmeath,12,76,50,2,1,3,54,222,12,88,165,151
2016Q3,Kildare,28,152,71,3,2,19,211,512,41,120,127,103
2016Q3,Tipperary,21,114,68,4,0,1,109,310,29,153,179,160
2016Q3,Wexford,19,107,58,0,1,3,124,344,33,105,145,128
2016Q3,Kilkenny/Carlow,15,127,47,1,1,4,95,339,19,130,219,193
2016Q3,Waterford,9,112,56,1,0,9,142,441,13,108,233,220
2016Q3,D.M.R. South Central,27,249,25,4,1,74,329,1943,65,224,607,476
2016Q3,D.M.R. North Central,28,235,45,3,0,53,271,2076,84,316,632,364
2016Q3,D.M.R. Northern,45,289,85,1,3,72,392,1296,127,308,262,216
2016Q3,D.M.R. Southern,38,210,62,2,1,60,381,1032,96,403,281,220
2016Q3,D.M.R. Eastern,19,108,28,1,3,13,464,788,45,76,151,116
