county,year,full_licence,Under 17 years,17 - 20 years,21 - 24 years,25 - 29 years,30 - 39 years,40 - 49 years,50 - 59 years,60 - 69 years,70 - 79 years,80 years and over,learner
Carlow,2013,32543,0,390,1517,3034,7986,7129,5623,4167,2101,596,3333
Dublin,2013,585835,0,4378,19429,46949,147133,132721,105769,77507,39288,12661,64618
Kildare,2013,110204,0,1103,4311,9559,27450,27748,19861,13627,5296,1249,10529
Kilkenny,2013,50544,0,753,2502,4494,11377,10730,9233,6858,3501,1096,4698
Laois,2013,38520,0,427,1729,3648,9518,8540,6769,4752,2361,776,3926
Longford,2013,20564,0,276,970,2006,4852,4111,3401,3034,1466,448,1975
Louth,2013,60424,0,556,2473,5182,14314,14354,10747,7870,3821,1107,5729
Meath,2013,97192,0,1167,4089,8121,23945,24154,17095,11845,5355,1421,8320
Offaly,2013,39831,0,523,1927,3797,9459,8722,6996,5056,2592,759,3872
Westmeath,2013,45887,0,575,2088,4203,10985,10093,8245,5866,2926,906,4185
Wexford,2013,80271,0,1209,3863,7082,17690,17471,14387,10837,6081,1651,7177
Wicklow,2013,74518,0,864,3042,5892,16844,17412,14056,10148,5011,1249,6552
Clare,2013,67553,0,1158,3338,5954,14851,14881,12074,9509,4529,1259,5016
Cork,2013,284697,0,4616,13790,25142,65949,61618,50382,38101,19183,5916,24077
Kerry,2013,83093,0,1244,4049,7567,18134,16860,15215,12154,6053,1817,6406
Limerick,2013,102890,0,1628,4939,9549,24429,21018,18099,14231,7017,1980,8432
Tipperary,2013,89039,0,1204,4266,8091,19672,18278,16160,12577,6612,2179,8359
Waterford,2013,61708,0,852,2869,5450,14419,13380,10840,8172,4422,1304,5275
Galway,2013,138145,0,1861,6604,13249,34340,29835,23772,17492,8565,2427,11191
Leitrim,2013,18286,0,300,973,1719,4011,3627,3276,2586,1357,437,1361
Mayo,2013,74122,0,1324,4249,7652,15981,13951,13285,10617,5398,1665,5547
Roscommon,2013,36569,0,632,1916,3567,7806,7019,6667,5282,2743,937,2661
Sligo,2013,37364,0,613,1934,3498,8118,7201,6932,5465,2753,850,2537
Cavan,2013,38585,0,612,2075,3781,8990,7961,6733,5103,2500,830,3685
Donegal,2013,88505,0,1539,4786,9197,20047,18207,15005,12037,6015,1672,6091
Monaghan,2013,34830,0,689,2107,3619,7910,6686,6059,4810,2258,692,2582
Carlow,2014,33032,0,357,1478,2851,8010,7324,5806,4283,2258,665,3619
Dublin,2014,604585,0,4600,19079,45815,149100,137832,110181,80759,42928,14291,68603
Kildare,2014,114765,0,1255,4368,9104,27980,28999,20826,14581,6163,1489,11926
Kilkenny,2014,52406,0,802,2486,4475,11402,11176,9655,7230,3930,1250,5145
Laois,2014,39983,0,492,1671,3509,9761,8958,7100,5011,2599,882,4260
Longford,2014,21445,0,299,999,1917,4976,4333,3554,3193,1646,528,2138
Louth,2014,62729,0,643,2379,5136,14528,14828,11329,8260,4355,1271,6006
Meath,2014,101765,0,1290,4138,7999,24282,25540,18145,12682,6057,1632,9106
Offaly,2014,41827,0,563,1950,3738,9730,9117,7506,5403,2878,942,4143
Westmeath,2014,47901,0,624,2080,4123,11148,10663,8692,6267,3276,1028,4568
Wexford,2014,83555,0,1255,3825,6948,18000,18176,15161,11492,6786,1912,8073
Wicklow,2014,77784,0,983,3059,5818,17006,18275,14773,10717,5677,1476,7544
Clare,2014,70126,0,1221,3422,5805,14987,15356,12695,10035,5114,1491,5556
Cork,2014,293550,0,4677,13586,24411,66501,63902,52648,39942,21252,6631,25839
Kerry,2014,86017,0,1321,3961,7390,18441,17547,15730,12841,6736,2050,6863
Limerick,2014,106362,0,1773,4863,9289,24747,22008,18663,14916,7832,2271,8976
Tipperary,2014,91387,0,1306,4197,7817,19710,18859,16633,13106,7310,2449,9069
Waterford,2014,63854,0,920,2826,5327,14532,13820,11434,8617,4885,1493,5888
Galway,2014,142499,0,1847,6529,12711,34563,31264,24674,18532,9596,2783,11532
Leitrim,2014,19098,0,331,970,1715,4112,3749,3449,2766,1515,491,1520
Mayo,2014,76678,0,1378,4093,7446,16454,14467,13718,11292,5954,1876,6191
Roscommon,2014,38038,0,704,1887,3487,7987,7343,6860,5645,3056,1069,2982
Sligo,2014,38531,0,645,1873,3388,8242,7419,7143,5851,2998,972,2711
Cavan,2014,40299,0,677,2064,3743,9218,8301,7149,5389,2818,940,4035
Donegal,2014,90568,0,1452,4601,8919,20179,18646,15544,12537,6779,1911,6825
Monaghan,2014,36002,0,728,2049,3570,8109,6986,6319,5020,2457,764,2760
Carlow,2015,33744,0,425,1467,2804,7985,7514,6031,4401,2391,726,3530
Dublin,2015,616734,0,4741,18689,44621,150318,141480,112922,83338,45288,15337,68976
Kildare,2015,116848,0,1420,4340,8728,27767,29413,21560,15231,6730,1659,12063
Kilkenny,2015,53397,0,914,2396,4445,11324,11388,9932,7528,4159,1311,5323
Laois,2015,41113,0,567,1653,3430,9894,9260,7374,5245,2796,894,4396
Longford,2015,21940,0,309,990,1902,5047,4454,3657,3269,1752,560,2127
Louth,2015,64287,0,685,2333,5053,14664,15229,11785,8561,4634,1343,6323
Meath,2015,104528,0,1381,4150,7837,24151,26404,19001,13234,6565,1805,9597
Offaly,2015,42745,0,689,1867,3699,9774,9329,7746,5626,3005,1010,4199
Westmeath,2015,48994,0,702,2056,4003,11285,10924,9008,6457,3479,1080,4763
Wexford,2015,85474,0,1375,3776,6832,18095,18552,15718,11845,7211,2070,8375
Wicklow,2015,79563,0,994,3024,5726,17037,18635,15320,11104,6066,1657,7875
Clare,2015,71407,0,1327,3397,5667,14876,15527,13191,10313,5487,1622,5651
Cork,2015,299348,0,4869,13151,23961,66694,65348,54351,41200,22669,7105,26900
Kerry,2015,87393,0,1385,3828,7120,18525,17804,16099,13187,7287,2158,7119
Limerick,2015,107983,0,1859,4709,8959,24733,22579,18952,15396,8346,2450,9164
Tipperary,2015,93415,0,1504,4184,7737,19796,19270,17041,13578,7680,2625,9066
Waterford,2015,65122,0,1083,2728,5241,14445,14110,11845,8863,5228,1579,5974
Galway,2015,144739,0,2081,6228,12216,34325,32113,25317,19182,10301,2976,11561
Leitrim,2015,19491,0,362,930,1642,4166,3825,3529,2900,1621,516,1541
Mayo,2015,78159,0,1482,3956,7248,16641,14762,13945,11760,6412,1953,6310
Roscommon,2015,38756,0,740,1868,3336,8091,7537,6922,5839,3294,1129,2959
Sligo,2015,39111,0,651,1844,3257,8306,7604,7222,5984,3234,1009,2738
Cavan,2015,41376,0,755,2033,3666,9352,8594,7331,5635,2990,1020,4154
Donegal,2015,91267,0,1517,4366,8516,19916,18878,15903,12890,7214,2067,6946
Monaghan,2015,36693,0,736,2003,3477,8281,7137,6458,5165,2616,820,2812
Carlow,2016,34473,0,440,1356,2751,8030,7784,6200,4632,2523,757,3704
Dublin,2016,630156,0,4843,18229,43885,152111,145478,115507,85845,47751,16507,71083
Kildare,2016,119353,0,1512,4430,8359,27688,30094,22237,15853,7342,1838,12531
Kilkenny,2016,54370,0,891,2373,4342,11364,11668,10168,7766,4382,1416,5559
Laois,2016,42045,0,474,1677,3276,10058,9539,7644,5452,2960,965,4604
Longford,2016,22396,0,322,948,1849,5066,4663,3724,3307,1901,616,2274
Louth,2016,65862,0,732,2303,4930,14843,15669,12227,8819,4923,1416,6754
Meath,2016,107485,0,1485,4233,7662,24191,27250,19835,13749,7130,1950,10074
Offaly,2016,43595,0,744,1878,3588,9718,9546,8017,5836,3175,1093,4302
Westmeath,2016,50074,0,705,2075,3905,11355,11113,9288,6773,3689,1171,5087
Wexford,2016,87072,0,1445,3712,6654,17959,18887,16208,12296,7575,2336,8762
Wicklow,2016,81260,0,1050,3082,5537,17038,18983,15845,11411,6466,1848,8020
Clare,2016,72626,0,1347,3406,5545,14742,15810,13498,10601,5911,1766,5819
Cork,2016,304499,0,5058,12774,23187,66689,66837,55824,42478,23917,7735,27805
Kerry,2016,88716,0,1443,3793,6903,18514,18085,16325,13580,7737,2336,7271
Limerick,2016,109824,0,1923,4769,8573,24811,23099,19274,15871,8830,2674,9502
Tipperary,2016,95002,0,1541,4131,7494,19955,19584,17338,14008,8143,2808,9436
Waterford,2016,66314,0,1069,2670,5036,14514,14467,12190,9059,5557,1752,6347
Galway,2016,146267,0,1978,5915,11653,33987,32829,25818,19873,10961,3253,12204
Leitrim,2016,19831,0,342,917,1568,4224,3931,3580,3033,1674,562,1587
Mayo,2016,79507,0,1450,3777,7042,16756,15240,14154,12075,6887,2126,6473
Roscommon,2016,39285,0,730,1786,3187,8114,7644,7096,6048,3465,1215,3041
Sligo,2016,39517,0,636,1727,3134,8368,7675,7284,6161,3439,1093,2899
Cavan,2016,42313,0,802,2004,3560,9433,8866,7552,5836,3185,1075,4313
Donegal,2016,91760,0,1464,4205,7942,19684,19141,16200,13117,7774,2233,7281
Monaghan,2016,37269,0,747,1904,3389,8281,7384,6573,5339,2784,868,2925
Carlow,2017,35007,0,410,1336,2710,7992,7945,6346,4766,2661,841,3671
Dublin,2017,642772,0,4621,18408,43199,152606,149900,118065,88117,50122,17734,70330
Kildare,2017,122599,0,1725,4529,8397,27588,30847,23061,16375,8025,2052,12270
Kilkenny,2017,55296,0,895,2324,4269,11318,11938,10350,8008,4677,1517,5499
Laois,2017,43019,0,497,1686,3146,10108,9927,7881,5676,3099,999,4595
Longford,2017,22880,0,309,941,1797,5139,4753,3849,3353,2067,672,2259
Louth,2017,67387,0,767,2334,4902,14883,15921,12672,9036,5329,1543,6571
Meath,2017,110056,0,1520,4374,7566,23925,27961,20667,14234,7681,2128,9905
Offaly,2017,44448,0,724,1855,3517,9715,9786,8214,6060,3380,1197,4270
Westmeath,2017,51285,0,699,2194,3875,11409,11339,9509,7048,3924,1288,5147
Wexford,2017,89164,0,1585,3767,6572,18046,19260,16661,12766,8032,2475,8588
Wicklow,2017,82808,0,1039,3114,5514,16816,19395,16229,11739,6960,2002,7830
Clare,2017,73820,0,1405,3344,5517,14543,16076,13818,10831,6367,1919,5604
Cork,2017,310191,0,5197,12741,22800,66407,68519,57181,43657,25396,8293,27017
Kerry,2017,90348,0,1516,3763,6802,18457,18454,16535,13980,8294,2547,7287
Limerick,2017,111399,0,1974,4849,8380,24467,23637,19623,16281,9319,2869,9181
Tipperary,2017,96542,0,1475,4231,7295,19901,19941,17669,14372,8634,3024,9354
Waterford,2017,67408,0,1017,2697,5003,14310,14768,12534,9302,5881,1896,6327
Galway,2017,148592,0,1937,5808,11352,33580,33750,26362,20538,11735,3530,11994
Leitrim,2017,20201,0,369,868,1537,4205,4042,3637,3154,1784,605,1595
Mayo,2017,81069,0,1442,3711,6858,16946,15587,14308,12548,7316,2353,6235
Roscommon,2017,39999,0,719,1760,3110,8204,7829,7140,6235,3714,1288,3006
Sligo,2017,40098,0,651,1683,3031,8294,7862,7378,6338,3679,1182,2975
Cavan,2017,43351,0,747,2031,3550,9493,9143,7754,6106,3370,1157,4428
Donegal,2017,92482,0,1496,4130,7555,19454,19312,16519,13391,8259,2366,7305
Monaghan,2017,37793,0,698,1850,3291,8344,7535,6651,5496,3008,920,2905
Carlow,2018,35845,0,438,1325,2677,7813,8221,6622,4999,2842,908,3603
Dublin,2018,650686,0,4387,18480,42135,148817,153496,121419,90796,52331,18825,68444
Kildare,2018,126061,0,1789,4899,8342,27223,31607,24235,17023,8722,2221,11774
Kilkenny,2018,56183,0,960,2402,4130,10899,12274,10612,8364,4932,1610,5238
Laois,2018,44175,0,592,1775,3057,9921,10223,8212,6015,3301,1079,4301
Longford,2018,23402,0,324,941,1750,5067,4924,4029,3476,2169,722,2236
Louth,2018,69029,0,767,2493,4753,14699,16325,13327,9378,5603,1684,6215
Meath,2018,113254,0,1565,4592,7575,23612,28781,21726,14850,8220,2333,9802
Offaly,2018,45357,0,786,2003,3418,9514,9987,8513,6301,3563,1272,3977
Westmeath,2018,52713,0,721,2224,3965,11279,11709,9871,7415,4138,1391,4998
Wexford,2018,91381,0,1659,3959,6474,17685,19679,17426,13399,8410,2690,8481
Wicklow,2018,84194,0,1030,3120,5460,16249,19907,16718,12159,7403,2148,7770
Clare,2018,74972,0,1342,3378,5431,14158,16209,14247,11343,6768,2096,5563
Cork,2018,315279,0,4923,12997,22348,64722,70401,59080,45242,26739,8827,26778
Kerry,2018,91822,0,1502,3868,6525,18010,18903,17017,14553,8796,2648,7321
Limerick,2018,112828,0,1892,4918,8201,23681,24328,20065,16817,9874,3052,9080
Tipperary,2018,98371,0,1509,4356,7197,19315,20525,18251,14972,9021,3225,9052
Waterford,2018,68827,0,1053,2820,4946,13951,15198,12988,9736,6124,2011,6082
Galway,2018,151043,0,1947,5843,11089,32691,34616,27223,21402,12374,3858,11894
Leitrim,2018,20647,0,383,876,1505,4118,4189,3703,3347,1878,648,1579
Mayo,2018,82460,0,1467,3775,6555,16758,15940,14594,13120,7786,2465,6047
Roscommon,2018,40678,0,725,1805,2954,8065,8064,7316,6500,3873,1376,2950
Sligo,2018,40695,0,658,1680,2966,8177,7968,7574,6539,3874,1259,2907
Cavan,2018,44508,0,826,2072,3552,9409,9426,8069,6341,3567,1246,4220
Donegal,2018,94088,0,1631,4120,7347,19011,19604,17238,13891,8616,2630,7126
Monaghan,2018,38630,0,761,1929,3210,8238,7751,6871,5742,3158,970,2626
Carlow,2019,37709,0,561,1460,2696,7915,8712,7060,5295,3015,995,3477
Dublin,2019,685246,0,5153,20097,43867,153692,163934,128133,95321,54847,20202,67303
Kildare,2019,134298,0,2075,5514,8866,27856,33799,26178,18162,9452,2396,11398
Kilkenny,2019,59199,0,1205,2640,4196,11165,12886,11278,8904,5217,1708,4859
Laois,2019,46647,0,726,1930,3132,10049,10930,8788,6474,3453,1165,4220
Longford,2019,24907,0,379,1048,1808,5156,5329,4420,3645,2340,782,2209
Louth,2019,73350,0,958,2808,4954,15122,17398,14398,9956,5935,1821,6196
Meath,2019,119983,0,1772,5118,7955,23917,30507,23626,15792,8793,2503,9810
Offaly,2019,47590,0,872,2225,3473,9608,10477,9057,6715,3792,1371,3860
Westmeath,2019,55644,0,854,2411,4031,11570,12341,10584,7941,4409,1503,5024
Wexford,2019,97168,0,1924,4340,6796,18025,20903,18948,14347,8963,2922,7840
Wicklow,2019,89054,0,1220,3393,5690,16688,20986,17960,12874,7829,2414,7306
Clare,2019,78615,0,1561,3629,5564,14272,16893,15189,12015,7249,2243,5423
Cork,2019,331975,0,5984,14100,22990,65904,74217,63154,47927,28238,9461,25311
Kerry,2019,97028,0,1864,4233,6616,18131,19931,18313,15658,9401,2881,6860
Limerick,2019,118045,0,2135,5336,8485,23890,25518,21299,17685,10412,3285,8950
Tipperary,2019,103594,0,1912,4765,7375,19546,21526,19702,15826,9509,3433,8572
Waterford,2019,72346,0,1235,2991,4959,14196,15978,13973,10415,6443,2156,5913
Galway,2019,159286,0,2451,6418,11221,33095,36441,29439,22897,13136,4188,11817
Leitrim,2019,21971,0,433,957,1520,4186,4487,4076,3577,2044,691,1525
Mayo,2019,87383,0,1624,3961,6576,17187,16893,15941,14152,8367,2682,6028
Roscommon,2019,42963,0,790,1856,3058,8142,8521,7987,7051,4087,1471,3058
Sligo,2019,42593,0,719,1740,2991,8235,8549,7961,6932,4111,1355,2925
Cavan,2019,47558,0,1001,2316,3647,9876,10044,8701,6829,3818,1326,3803
Donegal,2019,99883,0,2013,4438,7413,19637,20831,18643,14922,9104,2882,6891
Monaghan,2019,40852,0,893,2090,3250,8472,8360,7269,6017,3430,1071,2447
Carlow,2020,37916,0,462,1452,2555,7666,8920,7235,5441,3103,1082,3748
Dublin,2020,689850,0,4457,19099,41712,148918,168302,131055,97957,56832,21518,74056
Kildare,2020,135927,0,1867,5387,8770,26830,34566,27200,18669,10062,2576,12900
Kilkenny,2020,59566,0,1002,2578,4052,10940,13102,11526,9165,5362,1839,5220
Laois,2020,46937,0,589,1839,3089,9640,11177,9086,6703,3599,1215,4703
Longford,2020,25256,0,347,1027,1724,5036,5494,4617,3749,2426,836,2431
Louth,2020,74517,0,862,2790,4813,14805,17677,14974,10437,6139,2020,7034
Meath,2020,121909,0,1496,5033,7858,23229,31037,24773,16497,9259,2727,11016
Offaly,2020,47784,0,754,2179,3364,9321,10662,9182,6960,3935,1427,4218
Westmeath,2020,56051,0,705,2360,3954,11268,12520,10879,8165,4589,1611,5409
Wexford,2020,97975,0,1602,4341,6681,17646,21175,19362,14838,9244,3086,8364
Wicklow,2020,89968,0,1046,3244,5570,16141,21347,18481,13419,8125,2595,7903
Clare,2020,78529,0,1258,3621,5448,13713,16948,15464,12140,7495,2442,5937
Cork,2020,333961,0,5409,14008,22175,64072,75352,64550,48932,29363,10100,27052
Kerry,2020,97163,0,1625,4254,6444,17493,20129,18608,15850,9665,3095,7280
Limerick,2020,118308,0,1908,5235,8214,23175,25922,21698,17755,10832,3569,9583
Tipperary,2020,103914,0,1569,4631,7231,19051,21703,20063,16253,9790,3623,9180
Waterford,2020,72703,0,1039,2920,4820,13675,16312,14289,10734,6593,2321,6601
Galway,2020,160077,0,2127,6271,10748,31957,37096,30207,23483,13710,4478,13456
Leitrim,2020,22259,0,389,931,1485,4082,4659,4095,3731,2155,732,1609
Mayo,2020,87555,0,1420,3882,6300,16807,17142,16162,14187,8805,2850,6398
Roscommon,2020,43192,0,681,1780,2922,7960,8693,8096,7200,4275,1585,3346
Sligo,2020,42824,0,632,1785,2812,7997,8709,8012,7076,4334,1467,3203
Cavan,2020,48345,0,863,2407,3535,9683,10380,9009,7073,3991,1404,4182
Donegal,2020,100440,0,1702,4446,7087,19238,21236,19116,15106,9425,3084,7661
Monaghan,2020,41144,0,796,2103,3179,8304,8653,7378,6058,3530,1143,2652
Carlow,2021,39460,0,588,1618,2631,7567,9149,7724,5641,3361,1181,4498
Dublin,2021,715787,0,5413,20419,42292,147671,174979,137190,102982,61242,23599,90369
Kildare,2021,142597,0,2329,5905,9152,26691,35680,29066,19804,11012,2958,15459
Kilkenny,2021,62051,0,1239,2822,4188,10872,13431,11979,9685,5817,2018,5902
Laois,2021,49177,0,740,2094,3135,9504,11640,9572,7109,3987,1396,5621
Longford,2021,26178,0,391,1124,1764,4925,5728,4835,3874,2643,894,2777
Louth,2021,78200,0,1010,3134,4919,14802,18310,16000,11106,6672,2247,8600
Meath,2021,127490,0,1868,5599,8107,23100,31832,26359,17424,10053,3148,12698
Offaly,2021,49712,0,940,2343,3474,9156,10969,9616,7365,4280,1569,4949
Westmeath,2021,58946,0,926,2662,4138,11304,13013,11451,8632,5042,1778,6275
Wexford,2021,102544,0,1827,4565,6822,17520,21832,20455,15965,10118,3440,10242
Wicklow,2021,93806,0,1256,3552,5658,15977,21918,19449,14266,8779,2951,9362
Clare,2021,81584,0,1480,3814,5538,13597,17167,16350,12765,8160,2713,6853
Cork,2021,347465,0,6136,14909,22665,63430,77781,67708,51693,31838,11305,32326
Kerry,2021,101415,0,1845,4523,6533,17323,20750,19521,16771,10637,3512,8251
Limerick,2021,123059,0,2204,5597,8435,22950,26890,22659,18584,11761,3979,11883
Tipperary,2021,108401,0,1927,4958,7429,18896,22495,20943,17101,10678,3974,10638
Waterford,2021,75870,0,1202,3003,4959,13638,16807,15014,11414,7233,2600,8171
Galway,2021,167241,0,2627,6778,10887,31607,38517,31917,24867,14921,5120,15351
Leitrim,2021,23128,0,430,989,1467,4016,4798,4372,3878,2391,787,1890
Mayo,2021,91676,0,1700,4116,6340,16808,17814,17068,14949,9616,3265,7487
Roscommon,2021,45130,0,839,1932,2981,7938,9037,8501,7554,4634,1714,3750
Sligo,2021,44390,0,684,1841,2806,7913,9092,8279,7399,4711,1665,3825
Cavan,2021,50276,0,1021,2544,3673,9656,10628,9471,7395,4352,1536,4689
Donegal,2021,105280,0,2006,4830,7172,19163,22164,20264,15980,10198,3503,9021
Monaghan,2021,42693,0,880,2144,3220,8237,9039,7721,6340,3866,1246,3178
